DISTANCE,IBD_LEFT,IBD_RIGHT,IBD_MID,NR_PAIRS,COUNT,DISTANCE_INDEX,BIN_INDEX
1081.763312,0.004,0.01,0.007,1,18,78,1

1081.763312,0.01,0.025,0.0175,1,5,78,2

1081.763312,0.025,0.05,0.037500000000000006,1,1,78,3

1081.751582,0.004,0.01,0.007,1,19,79,1

1081.751582,0.01,0.025,0.0175,1,6,79,2

1081.751582,0.025,0.05,0.037500000000000006,1,3,79,3

1081.751142,0.004,0.01,0.007,1,16,80,1

1081.751142,0.01,0.025,0.0175,1,9,80,2

1081.751142,0.025,0.05,0.037500000000000006,1,1,80,3

1081.819431,0.004,0.01,0.007,1,23,81,1

1081.819431,0.01,0.025,0.0175,1,12,81,2

1081.819431,0.025,0.05,0.037500000000000006,1,1,81,3

1081.779423,0.004,0.01,0.007,1,24,82,1

1081.779423,0.01,0.025,0.0175,1,9,82,2

1081.779423,0.025,0.05,0.037500000000000006,1,0,82,3

1716.065053,0.004,0.01,0.007,1,22,83,1

1716.065053,0.01,0.025,0.0175,1,9,83,2

1716.065053,0.025,0.05,0.037500000000000006,1,2,83,3

1716.030396,0.004,0.01,0.007,1,22,84,1

1716.030396,0.01,0.025,0.0175,1,13,84,2

1716.030396,0.025,0.05,0.037500000000000006,1,1,84,3

1716.021021,0.004,0.01,0.007,1,16,85,1

1716.021021,0.01,0.025,0.0175,1,7,85,2

1716.021021,0.025,0.05,0.037500000000000006,1,3,85,3

1716.017781,0.004,0.01,0.007,1,27,86,1

1716.017781,0.01,0.025,0.0175,1,5,86,2

1716.017781,0.025,0.05,0.037500000000000006,1,0,86,3

1899.894202,0.004,0.01,0.007,1,15,87,1

1899.894202,0.01,0.025,0.0175,1,8,87,2

1899.894202,0.025,0.05,0.037500000000000006,1,1,87,3

1899.918496,0.004,0.01,0.007,1,25,88,1

1899.918496,0.01,0.025,0.0175,1,8,88,2

1899.918496,0.025,0.05,0.037500000000000006,1,3,88,3

1899.846277,0.004,0.01,0.007,1,27,89,1

1899.846277,0.01,0.025,0.0175,1,8,89,2

1899.846277,0.025,0.05,0.037500000000000006,1,1,89,3

1899.944477,0.004,0.01,0.007,1,23,90,1

1899.944477,0.01,0.025,0.0175,1,6,90,2

1899.944477,0.025,0.05,0.037500000000000006,1,1,90,3

1899.932099,0.004,0.01,0.007,1,19,91,1

1899.932099,0.01,0.025,0.0175,1,3,91,2

1899.932099,0.025,0.05,0.037500000000000006,1,3,91,3

1899.980715,0.004,0.01,0.007,1,15,92,1

1899.980715,0.01,0.025,0.0175,1,6,92,2

1899.980715,0.025,0.05,0.037500000000000006,1,0,92,3

1899.964132,0.004,0.01,0.007,1,14,93,1

1899.964132,0.01,0.025,0.0175,1,9,93,2

1899.964132,0.025,0.05,0.037500000000000006,1,1,93,3

1899.919946,0.004,0.01,0.007,1,22,94,1

1899.919946,0.01,0.025,0.0175,1,6,94,2

1899.919946,0.025,0.05,0.037500000000000006,1,0,94,3

1899.960368,0.004,0.01,0.007,1,20,95,1

1899.960368,0.01,0.025,0.0175,1,6,95,2

1899.960368,0.025,0.05,0.037500000000000006,1,1,95,3

0.059998,0.004,0.01,0.007,1,35,96,1

0.059998,0.01,0.025,0.0175,1,14,96,2

0.059998,0.025,0.05,0.037500000000000006,1,4,96,3

0.062403,0.004,0.01,0.007,1,48,97,1

0.062403,0.01,0.025,0.0175,1,20,97,2

0.062403,0.025,0.05,0.037500000000000006,1,0,97,3

0.042717,0.004,0.01,0.007,1,39,98,1

0.042717,0.01,0.025,0.0175,1,11,98,2

0.042717,0.025,0.05,0.037500000000000006,1,6,98,3

0.066648,0.004,0.01,0.007,1,48,99,1

0.066648,0.01,0.025,0.0175,1,12,99,2

0.066648,0.025,0.05,0.037500000000000006,1,5,99,3

0.040339,0.004,0.01,0.007,1,38,100,1

