DISTANCE,IBD_LEFT,IBD_RIGHT,IBD_MID,NR_PAIRS,COUNT,DISTANCE_INDEX,BIN_INDEX
129.253,0.01,0.025,0.0175,1,8,89,2
129.253,0.025,0.05,0.037500000000000006,1,2,89,3
131.125,0.004,0.01,0.007,1,26,90,1
131.125,0.01,0.025,0.0175,1,12,90,2
131.125,0.025,0.05,0.037500000000000006,1,0,90,3
139.746,0.004,0.01,0.007,1,24,91,1
139.746,0.01,0.025,0.0175,1,8,91,2
139.746,0.025,0.05,0.037500000000000006,1,1,91,3
156.345,0.004,0.01,0.007,1,26,92,1
156.345,0.01,0.025,0.0175,1,6,92,2
156.345,0.025,0.05,0.037500000000000006,1,2,92,3
161.247,0.004,0.01,0.007,1,34,93,1
161.247,0.01,0.025,0.0175,1,13,93,2
161.247,0.025,0.05,0.037500000000000006,1,0,93,3
163.736,0.004,0.01,0.007,1,32,94,1
163.736,0.01,0.025,0.0175,1,10,94,2
163.736,0.025,0.05,0.037500000000000006,1,2,94,3
168.384,0.004,0.01,0.007,1,37,95,1
168.384,0.01,0.025,0.0175,1,14,95,2
168.384,0.025,0.05,0.037500000000000006,1,1,95,3
5.013,0.004,0.01,0.007,1,32,96,1
5.013,0.01,0.025,0.0175,1,7,96,2
5.013,0.025,0.05,0.037500000000000006,1,3,96,3
9.918,0.004,0.01,0.007,1,26,97,1
9.918,0.01,0.025,0.0175,1,7,97,2
9.918,0.025,0.05,0.037500000000000006,1,1,97,3
12.422,0.004,0.01,0.007,1,35,98,1
12.422,0.01,0.025,0.0175,1,12,98,2
12.422,0.025,0.05,0.037500000000000006,1,4,98,3
14.915,0.004,0.01,0.007,1,28,99,1
14.915,0.01,0.025,0.0175,1,14,99,2
14.915,0.025,0.05,0.037500000000000006,1,0,99,3
17.432,0.004,0.01,0.007,1,31,100,1
17.432,0.01,0.025,0.0175,1,12,100,2
17.432,0.025,0.05,0.037500000000000006,1,4,100,3
19.918,0.004,0.01,0.007,1,33,101,1
19.918,0.01,0.025,0.0175,1,8,101,2
19.918,0.025,0.05,0.037500000000000006,1,2,101,3
24.58,0.004,0.01,0.007,1,36,102,1
